precinct,neighborhood,borough 
1,Greenwich Village/Financial District,Manhattan
5,Lower East Side/Chinatown,Manhattan
6,Greenwich Village/Financial District,Manhattan
7,Lower East Side/Chinatown,Manhattan
9,Lower East Side/Chinatown,Manhattan
10,Chelsea/Clinton/Midtown,Manhattan
13,Stuyvesant Town/Turtle Bay,Manhattan
14,Chelsea/Clinton/Midtown,Manhattan
17,Stuyvesant Town/Turtle Bay,Manhattan
18,Chelsea/Clinton/Midtown,Manhattan
19,Upper East Side,Manhattan
20,Upper West Side,Manhattan
22,Central Park,Manhattan
23,East Harlem,Manhattan
24,Upper West Side,Manhattan
25,East Harlem,Manhattan
26,Morningside Heights/Hamilton Heights,Manhattan
28,Central Harlem,Manhattan
30,Morningside Heights/Hamilton Heights,Manhattan
32,Central Harlem,Manhattan
33,Washington Heights/Inwood,Manhattan
34,Washington Heights/Inwood,Manhattan
40,Mott Haven/Hunts Point,Bronx
41,Mott Haven/Hunts Point,Bronx
42,Morrisania/Belmont,Bronx
43,Soundview/Parkchester,Bronx
44,Highbridge/South Concourse,Bronx
45,Throgs Neck/Co-op City,Bronx
46,University Heights/Fordham,Bronx
47,Williamsbridge/Baychester,Bronx
48,Morrisania/Belmont,Bronx
49,Pelham Parkway,Bronx
50,Riverdale/Kingsbridge,Bronx
52,University Heights/Fordham,Bronx
60,Coney Island,Brooklyn
61,Sheepshead Bay/Gravesend,Brooklyn
62,Bensonhurst,Brooklyn
63,Flatlands/Canarsie,Brooklyn
66,Borough Park,Brooklyn
67,East Flatbush,Brooklyn
68,Bay Ridge,Brooklyn
69,Flatlands/Canarsie,Brooklyn
70,Flatbush,Brooklyn
71,South Crown Heights,Brooklyn
72,Sunset Park,Brooklyn
73,Brownsville/Ocean Hill,Brooklyn
75,East New York/Starrett City,Brooklyn
76,Park Slope/Carroll Gardens,Brooklyn
77,North Crown Heights/Prospect Heights,Brooklyn
78,Park Slope/Carroll Gardens,Brooklyn
79,Bedford Stuyvesant,Brooklyn
81,Bedford Stuyvesant,Brooklyn
83,Bushwick,Brooklyn
84,Brooklyn Heights/Fort Greene,Brooklyn
88,Brooklyn Heights/Fort Greene,Brooklyn
90,Williamsburg/Greenpoint,Brooklyn
94,Williamsburg/Greenpoint,Brooklyn
100,Rockaways,Queens
101,Rockaways,Queens
102,Ozone Park/Woodhaven,Queens
103,Jamaica,Queens
104,Middle Village/Ridgewood,Queens
105,Queens Village,Queens
106,South Ozone Park/Howard Beach,Queens
107,Hillcrest/Fresh Meadows,Queens
108,Sunnyside/Woodside,Queens
109,Flushing/Whitestone,Queens
110,Elmhurst/Corona,Queens
111,Bayside/Little Neck,Queens
112,Rego Park/Forest Hills,Queens
113,Jamaica,Queens
114,Astoria,Queens
115,Jackson Heights,Queens
120,North Shore,Staten Island
121,North Shore,Staten Island
122,Mid-Island,Staten Island
123,South Shore,Staten Island